,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW1-6 xCS
1,MCI,0.4952051247870538,0.5886783756934503,0.5585421484080088,0.5214040117868393,0.6009750573089213,0.5160080715277642,3.280812789512038
2,LIV,0.5676049608858674,0.5050390499339992,0.48346345700102655,0.5736004323052903,0.5267127615594263,0.6054371439613699,3.2618578056469802
3,TOT,0.39433842735105495,0.2696488058824397,0.47257877111582675,0.5193337727307863,0.3871549949164703,0.42359102432239853,2.4666457963189763
4,CHE,0.5085528780806204,0.26823075431992377,0.44929041766864636,0.35186414491989126,0.43748713094358377,0.38546592954308556,2.4008912554757513
5,ARS,0.43269577248897,0.2990953443565286,0.5058001243769881,0.40399133255580666,0.3544830229253319,0.36726816708437443,2.363333763788
6,BHA,0.300184062916186,0.3496780179984604,0.31992125006865313,0.33498001381604786,0.39152899058700813,0.24927888451328004,1.9455712198996356
7,NEW,0.4274611620064574,0.39779637506000004,0.10936614241341752,0.4264312655354444,0.13278851604844724,0.3372447193132039,1.8310881803769705
8,AVL,0.3795154198771189,0.4404293099122795,0.3039921492817293,0.3247197649326904,0.18445952312643643,0.1323503866752561,1.7654665538055103
9,WOL,0.2915044822328872,0.3302150352036599,0.13909567378691598,0.32757078443406684,0.3581630948165056,0.3010992243949921,1.7476482948690277
10,BRE,0.2582394882113222,0.18303241124444564,0.3618034932715167,0.30960849820005876,0.33583037007378325,0.24975426210071486,1.6982685231018413
11,CRY,0.22907223032988855,0.16562471245884916,0.33061295233181426,0.1494492278709929,0.35385474737065004,0.4163805487624791,1.6449944191246741
12,MUN,0.310513828127898,0.3452232981039768,0.07718530223900452,0.34205759011237874,0.267470646631954,0.15137177969543106,1.4938224449106432
13,WHU,0.07218569215323921,0.4241364423969656,0.32135208835645457,0.31053416151466323,0.13291478710902072,0.17984041754939087,1.440963589079734
14,LEE,0.25547516151477584,0.21233867080168337,0.07242238315042812,0.25924770068430253,0.2501514497367781,0.2151830948429871,1.2648184607309552
15,FUL,0.06511563537341668,0.3461251371993324,0.2418901636534942,0.15685561925240377,0.28731844669069045,0.13004824216579738,1.227353244335135
16,LEI,0.2401342301013713,0.14190991687136068,0.23718526967598721,0.11632515429736313,0.18184904984814113,0.2983434375275535,1.2157470583217769
17,EVE,0.08684440588862265,0.23314233330115672,0.2947536163843543,0.2549399461432984,0.2633761478235381,0.0493404111593173,1.1823968607002875
18,SOU,0.12869736877471727,0.23878250515745778,0.19643334639941168,0.17323927850242954,0.10094539912167724,0.34425045052508935,1.1823483484807829
19,NFO,0.2579250676761989,0.17565988857669673,0.3036000540151892,0.0906506014184405,0.05287488827851709,0.28661209861594245,1.1673225985809847
20,BOU,0.17953191092907755,0.04633091355691027,0.10159833228032769,0.05470176035772173,0.26990268926603,0.30735954432382784,0.959425150713895
