,ID,Name,BV,SV,Team,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins
462,463,Coufal,4.4,4.4,West Ham,1.56,90.0,3.46,90.0,3.16,90.0,2.12,90.0,2.28,90.0,1.89,90.0,3.08,90.0,2.8,90.0,3.61,90.0
463,464,Benrahma,5.7,5.7,West Ham,1.89,51.86,2.85,48.0,3.31,56.0,3.08,59.0,2.69,45.61,2.04,48.0,2.1,37.0,1.9,37.0,2.05,36.0
464,465,Bowen,8.1,8.1,West Ham,3.64,81.83,5.04,82.2,4.99,82.5,4.45,83.0,4.36,81.0,3.57,81.5,4.68,81.5,4.14,79.9,4.58,79.3
465,466,Vlasic,5.0,5.0,West Ham,0.71,22.48,1.06,20.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
466,467,Rice,4.9,4.9,West Ham,1.98,86.44,2.83,87.0,2.84,87.5,2.57,88.0,2.71,88.5,2.23,89.0,3.05,89.5,2.75,89.5,3.08,90.0
467,468,Soucek,5.4,5.4,West Ham,2.33,83.3,3.31,84.0,3.4,85.0,3.05,85.5,3.14,86.5,2.71,87.5,3.59,88.0,3.24,88.0,3.54,87.0
468,469,Fornals,5.3,5.3,West Ham,2.3,68.6,3.29,70.0,3.29,70.0,2.83,68.0,3.04,62.68,2.21,63.0,2.92,63.2,2.63,63.2,2.88,62.5
469,470,Diop,4.3,4.3,Fulham,,90.0,,90.0,,90.0,0.27,90.0,0.84,90.0,0.43,90.0,,90.0,,90.0,,90.0
470,471,Johnson,4.4,4.4,West Ham,,90.0,,90.0,,90.0,1.55,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
471,472,Aguerd,4.8,4.8,West Ham,0.17,90.0,0.0,90.0,0.0,90.0,0.0,90.0,0.0,90.0,0.0,90.0,,90.0,,90.0,,90.0
472,473,Areola,4.4,4.4,West Ham,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
473,474,Boly,4.3,4.3,Nott'm Forest,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
474,475,Coady,4.9,4.9,Everton,,90.0,1.38,90.0,3.5,90.0,2.5,90.0,2.47,90.0,1.61,90.0,1.54,90.0,2.8,90.0,2.72,90.0
475,476,Jiménez,6.8,6.8,Wolves,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
476,477,Jonny,4.4,4.4,Wolves,2.28,90.0,1.85,90.0,0.93,90.0,0.94,90.0,0.95,90.0,0.75,90.0,1.17,90.0,1.29,90.0,2.49,90.0
477,478,Sá,5.0,5.0,Wolves,3.53,90.0,3.83,90.0,3.19,90.0,3.77,90.0,3.92,90.0,3.91,90.0,3.14,90.0,3.19,90.0,3.45,90.0
478,479,Dendoncker,4.8,4.8,Aston Villa,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
