id,gw,xPts,xMins,Pts,f_error
15,2,4.06,87.43,1.0,3.0599999999999996
15,3,4.53,87.43,6.0,-1.4699999999999998
15,4,4.5,87.43,2.0,2.5
15,5,4.22,87.43,2.0,2.2199999999999998
15,6,3.31,79.35,2.0,1.31
15,8,3.93,85.68,6.0,-2.07
15,9,3.37,84.8,2.0,1.37
16,10,3.01,83.89,1.0,2.01
16,1,3.83,79.33,7.0,-3.17
16,2,3.92,82.58,1.0,2.92
16,3,4.09,78.5,7.0,-2.91
16,4,4.43,78.5,9.0,-4.57
16,5,4.22,78.5,2.0,2.2199999999999998
16,6,3.01,78.5,1.0,2.01
16,8,3.66,82.21,6.0,-2.34
16,9,3.46,81.37,2.0,1.46
17,10,0.0,0.0,0.0,0.0
17,1,0.0,0.0,0.0,0.0
17,2,0.0,0.0,0.0,0.0
17,3,0.0,0.0,0.0,0.0
17,4,0.0,0.0,0.0,0.0
17,5,0.0,0.0,0.0,0.0
17,6,0.0,0.0,0.0,0.0
17,8,0.0,0.0,0.0,0.0
17,9,0.0,0.0,0.0,0.0
18,10,2.13,27.63,0.0,2.13
18,1,1.51,4.74,1.0,0.51
18,2,1.57,4.74,0.0,1.57
18,3,1.57,4.74,1.0,0.5700000000000001
18,4,1.51,5.26,0.0,1.51
18,5,1.48,1.32,2.0,-0.52
18,6,2.4,78.93,2.0,0.3999999999999999
18,8,2.49,74.97,1.0,1.4900000000000002
18,9,2.26,26.8,1.0,1.2599999999999998
19,10,3.75,76.9,12.0,-8.25
19,1,4.07,73.4,8.0,-3.9299999999999997
19,2,4.57,66.41,8.0,-3.4299999999999997
19,3,4.01,58.36,6.0,-1.9900000000000002
19,4,4.8,64.33,2.0,2.8
19,5,4.32,64.33,10.0,-5.68
19,6,3.63,64.33,2.0,1.63
19,8,4.4,70.22,3.0,1.4000000000000004
19,9,4.33,74.59,4.0,0.33000000000000007
20,10,0.0,0.0,0.0,0.0
20,1,2.95,0.92,0.0,2.95
20,2,0.0,0.0,0.0,0.0
20,3,0.0,0.0,0.0,0.0
20,4,0.0,0.0,0.0,0.0
20,5,0.0,0.0,0.0,0.0
20,6,0.0,0.0,0.0,0.0
20,8,0.0,0.0,0.0,0.0
20,9,0.0,0.0,0.0,0.0
21,10,1.43,27.79,0.0,1.43
21,1,1.61,1.58,0.0,1.61
21,2,1.72,1.58,0.0,1.72
21,3,1.7,1.58,0.0,1.7
21,4,1.51,0.05,0.0,1.51
21,5,1.47,0.05,0.0,1.47
21,6,1.69,19.34,1.0,0.69
21,8,1.61,26.95,0.0,1.61
21,9,1.71,25.26,1.0,0.71
22,10,0.0,0.0,0.0,0.0
22,1,0.0,0.0,0.0,0.0
22,2,0.0,0.0,0.0,0.0
22,3,0.0,0.0,0.0,0.0
22,4,0.0,0.0,0.0,0.0
22,5,0.0,0.0,0.0,0.0
22,6,0.0,0.0,0.0,0.0
22,8,0.0,0.0,0.0,0.0
22,9,0.0,0.0,0.0,0.0
23,10,1.44,0.26,0.0,1.44
23,1,1.77,0.79,0.0,1.77
23,2,1.96,0.79,0.0,1.96
23,3,1.91,0.79,0.0,1.91
23,4,0.0,0.0,0.0,0.0
23,5,0.0,0.0,0.0,0.0
23,6,0.0,0.0,0.0,0.0
23,8,0.0,0.0,0.0,0.0
23,9,1.51,0.26,0.0,1.51
24,10,2.34,2.37,0.0,2.34
24,1,3.28,2.96,0.0,3.28
24,2,3.19,2.37,0.0,3.19
24,3,3.54,2.37,0.0,3.54
24,4,3.53,2.37,0.0,3.53
24,5,3.32,2.37,0.0,3.32
24,6,2.86,10.39,0.0,2.86
24,8,3.08,2.32,0.0,3.08
24,9,2.67,2.3,0.0,2.67
25,10,1.75,22.11,1.0,0.75
25,1,1.75,3.79,0.0,1.75
25,2,2.08,11.37,0.0,2.08
25,3,2.22,23.58,0.0,2.22
25,4,2.08,18.42,0.0,2.08
25,5,1.95,18.42,0.0,1.95
25,6,1.74,18.42,1.0,0.74
25,8,2.03,26.31,10.0,-7.970000000000001
25,9,1.88,21.44,1.0,0.8799999999999999
26,10,2.72,82.58,1.0,1.7200000000000002
26,1,3.39,53.79,8.0,-4.609999999999999
26,2,3.47,72.07,-1.0,4.470000000000001
26,3,3.64,47.5,14.0,-10.36
26,4,3.99,67.79,7.0,-3.01
26,5,3.81,67.79,1.0,2.81
26,6,2.67,67.79,0.0,2.67
26,8,3.22,80.93,15.0,-11.78
26,9,3.12,80.11,1.0,2.12
27,10,1.4,0.05,0.0,1.4
27,1,1.81,0.92,0.0,1.81
27,2,1.99,0.92,0.0,1.99
27,3,1.96,0.92,0.0,1.96
27,4,2.06,0.92,0.0,2.06
27,5,1.95,0.46,0.0,1.95
27,6,1.75,0.46,0.0,1.75
27,8,1.5,0.05,1.0,0.5
27,9,1.46,0.05,0.0,1.46
28,10,4.0,78.65,5.0,-1.0
28,1,4.38,76.9,2.0,2.38
28,2,5.34,73.4,19.0,-13.66
28,3,5.23,73.4,4.0,1.2300000000000004
28,4,5.85,74.28,1.0,4.85
28,5,5.09,74.28,6.0,-0.9100000000000001
28,6,4.25,74.28,1.0,3.25
28,8,5.01,77.07,6.0,-0.9900000000000002
28,9,4.56,68.94,8.0,-3.4400000000000004
29,10,3.51,55.93,2.0,1.5099999999999998
