,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW1-16 Total
1,MCI,2.6285134223442763,3.071945861273774,2.2130539212324654,1.9007985567359753,2.939826754553774,2.0223024287019906,1.7061132424133343,2.4212459591333553,2.163976993082016,2.670512068834088,1.390850815961048,1.9805981656018032,2.049069479941825,2.902540416304883,2.6569115803258003,2.221610647302263,36.939870313742674
2,LIV,2.73159058389808,1.798030818340672,2.56154622558215,2.9058593880295875,2.0189975212178295,3.0090118347312673,2.4303985539924953,1.6213073762616297,1.9382853910533826,1.873516016666304,1.1952424716638963,2.112636706309232,2.957914161811181,2.9567631643409125,1.7755884370036596,2.5261293383764687,36.41281798927876
3,TOT,2.050291609229942,1.3159076453576402,1.972593281996386,2.400742707292083,2.018047054523747,2.0398498037816917,1.0179803480135945,2.1501141204772924,1.520608668120526,1.7501376642192656,2.134971234317552,2.0790371471403337,1.6386863546224544,2.518088778432083,0.9501345230102565,2.399808518998679,29.95699945953353
4,CHE,2.443637199554053,1.3106348856068533,2.625239867834128,2.151365954818923,2.2931755110749035,1.7156853904968612,2.218341678726254,0.9506877080778513,1.623766732842379,1.9737417605766414,1.5535311762512931,2.221244705789069,1.6623654680577162,1.751156625217561,1.310257977049928,1.700066326660405,29.50489896863482
5,ARS,1.4737179088734342,1.9525628109200872,2.28672815853618,1.8524295193422653,1.6903252264189532,1.8880163510234855,1.9388112448595185,2.015984215406028,1.189521908440649,0.8628366826358488,2.382647045332242,0.880966857986842,2.0812680482407244,2.0496812548123233,1.19500277053219,1.6881207193717802,27.428620722732553
6,LEI,1.3538678757359965,1.206992878975474,1.6274321092897768,1.0445101298147832,1.3187454508840903,1.3891829911441687,1.4774541659763496,1.1439040714837538,1.7915547029146222,1.9987491114016676,1.1583623383040318,1.9048633971791211,1.4755272834629352,0.7700223211939166,1.9385240504834411,1.6018377872712022,23.201530665515328
7,MUN,1.2033594494125712,1.6980920311975654,0.7267795470877655,1.7530815273729132,1.7045783324836516,1.0016629972568214,1.2413334480335216,1.8356682199162588,0.7786763646157709,1.868106132064638,1.2534685329169466,1.0019511354413884,1.006567743136337,1.3116032115020202,1.1876399316716308,1.6958727317620421,21.26844133587184
8,WHU,0.7027832087415246,1.7392056048056934,1.1396804070098068,1.1247927303594607,0.9489301624724086,0.9533024697986626,1.187137831897302,1.76925020862906,1.4290349738976738,1.4777586123339972,1.6603124441438097,0.7735830529618801,1.708598241182131,1.506147680017002,1.0572129905746352,1.5576390247682677,20.735369643593312
9,AVL,1.7174023100905564,1.456106139385961,1.1068069161055096,1.1694613626792658,1.0370948243532518,0.6616328711272499,1.5198487484770933,1.3983524235564435,1.7894403077641945,1.637369224926112,0.8732080937478761,1.512086596331113,1.1632954852026633,1.158814951758516,1.1331169434174237,1.1936395941441689,20.5276767930674
10,BRE,1.4265572198966265,1.0635638304397272,1.4192715250556893,1.366727266879842,1.0388687682138995,1.5362660093424851,1.4671494188814114,0.8382891847264039,1.6119845263429866,1.0876844407127446,1.0070884264902487,0.819608735314215,0.9939328025454355,1.2627790864967974,1.53686404110632,0.6516722457025247,19.128307528147356
11,LEE,1.2326998968676546,1.4322021616321263,0.8000857903788415,1.0936844091874176,1.3341720487332964,1.3872777961307599,1.4104660503871465,1.2992180903456039,1.1631790749802224,1.014123085447178,0.8183212745661267,1.3925768621341825,1.2747293959159918,0.6673004979043692,1.4738539743004797,0.9005797339610208,18.69447014287242
12,CRY,0.837720401873049,0.6831195260943462,1.190753402640533,0.6512300832529592,1.091149097469975,1.086946442094833,1.0628421977606655,1.1196112960310618,0.8190526272269338,1.5352236461816253,1.4255892946259794,1.261922285401112,1.5623524318862803,1.3116280466288806,1.2910003163522155,1.5358212721783104,18.46596236769876
13,SOU,0.9305457857052847,1.5495727751804385,1.4389137146469926,1.0727761639544389,0.8267079886031914,1.2003154194028078,1.1013476370739452,1.0025420088819041,1.3785655289998897,0.6573168736015486,1.107185169047312,1.6259471477223602,0.8455502435650469,1.0478671990526458,1.0581109876391894,0.6895043744686633,17.532769017545657
14,NEW,1.3550861716086082,1.0507424964868946,0.5824251961619085,1.1160511115842409,0.6410999235107787,0.8761556561986877,1.2115891472138767,1.4159852617486082,1.3310664734378996,1.02403104611336,1.248206199396173,1.2817877419233001,0.8652197928383826,1.11750855625171,1.3759688463561033,0.7686715964168889,17.261595217247425
15,FUL,0.5663295936254458,1.1080112149056593,1.0166540508118418,0.9063618553209143,0.9376957162621753,0.8589868545199844,0.763134179581042,1.430967519749097,0.9767422978723612,1.202861006128418,1.4057846758751773,1.109458160318731,1.5638689917699786,1.272553898686222,0.606769234089819,0.9902797227551888,16.716458972272054
16,BHA,1.1695268435667707,0.9218150250723611,1.135217908488418,1.3499713010177037,1.2471641079898905,1.2095099811414847,1.416507841099097,0.8209281123286541,0.6006888688080313,0.7368462684012043,1.248796206053046,1.2696697499251772,0.5726474608031523,0.720219196421042,1.045702011752326,1.0470675879387308,16.51227847080709
17,EVE,0.6761860805408014,0.8200053234138291,1.1920440555450351,1.172446688676683,1.385688745594886,0.5018045298640537,0.8030950347913928,0.9055957003100338,1.2104141554089292,0.8774516753219964,0.7611177299289834,0.8973514399511655,0.7707378051566935,1.1709143746285886,1.1355623643290393,1.3299046871949314,15.610320390657044
