,Team,GW3,GW4,GW5,GW6,GW7,GW8,GW3-8 Total
1,MCI,1.7560718880813126,2.295843178333618,3.185574342563276,2.3306489088529956,1.948300624160266,2.700599158970926,14.217038100962395
2,LIV,1.9287451646645537,2.7536675397337698,1.9304313276292564,2.358161986048099,2.135315256773195,1.6630271682181388,12.769348443067015
3,TOT,2.069574711541334,2.430780546169973,1.9861526763362385,2.4369684688558344,1.0640709294607462,2.712637013837337,12.700184346201462
4,ARS,2.254406957978048,2.2032937429741013,1.3152653441701605,1.6901157438556256,2.5366364660990044,1.5531684355271815,11.55288669060412
5,CHE,2.3331699385315106,2.2506202348840625,2.187883136119622,1.999182396937912,1.804119439637585,0.9634328466594766,11.538407992770168
6,MUN,0.8102455665086501,1.8400064075317233,1.5393536791802314,1.0978489228537862,1.289142090504958,2.0900782495461523,8.666674916125501
7,BRE,1.293725589022692,1.6692568164667172,1.0992145185518019,1.7821498295122424,1.5689207359562474,0.9361043162469744,8.349371805756675
8,BHA,1.1218485217359633,1.6919143954727835,1.2282204961734742,1.5321922932899907,1.408417508377677,1.0525060667268484,8.035099281776738
9,LEI,1.9625777158547788,1.1005921893591712,1.7526187764350978,1.2217909498454906,0.9933421458843443,0.8990913250488682,7.9300131024277505
10,AVL,1.1734230939688626,1.5303877353682567,0.8543018940501838,0.68380054676968,1.401174603048206,1.8254858894219697,7.468573762627159
11,LEE,0.7191456541652992,1.0605532435946419,1.6629503748509809,1.0182152888619045,1.5324703899044931,1.1079942464552432,7.101329197832563
12,WHU,1.2901239309992716,1.1518024688112036,0.9628466391356185,0.9814288065799583,1.1392362976785921,1.3916598284856376,6.917097971690282
13,SOU,1.2157543439154737,1.4144664479557028,0.6686309531969715,1.2079086534698786,1.2588281296618287,1.0424394067709075,6.808027934970762
14,NFO,1.1565056628534351,0.8001507033737253,0.5384254775257993,1.3504721567727092,1.4229539969015055,1.2331188412636953,6.50162683869087
15,NEW,0.6069254812712872,1.2356243185828772,0.5841928383120863,1.0504334393270705,1.1196393430356624,1.504513648867374,6.101329069396358
16,CRY,0.8267550719676339,0.6047231022738936,1.2981929749210888,0.8100075570198231,1.4586982628764174,1.016892184484561,6.015269153543418
17,FUL,1.2273571272648132,0.7227189664385011,1.1384363556786754,0.7074789249981049,0.6519150204695756,1.3060609003856736,5.753967295235343
18,EVE,1.1831141136439556,0.7860934129080652,1.286808522635564,0.5313601798113144,0.6155025665424944,1.1026050456924128,5.505483841233806
19,WOL,0.6166708729909423,0.8762561270618014,1.1677972010994986,1.3460974203960365,0.485342488582878,0.5042285768440122,4.996392686975169
20,BOU,0.7372383828118623,0.4855811460043337,0.9697330941994784,1.138981998191191,0.9928009596041795,0.6678427209525872,4.992178301763632
